
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 2 Go, |      => suggestions : ['']
80 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * 2 Go, | 2 go => suggestions : ['2\xa0Go']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. |    => suggestions : ['']
81 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. | 4400 mah => suggestions : ['4\xa0400\xa0mAh']
81 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
81 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. | 47 wh => suggestions : ['47\xa0Wh']
81 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. | 6 heures => suggestions : ['6\xa0heures']

83 Si “T” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ==== Modèle 1201 T ==== | 1201 t => suggestions : ['1\xa0201\xa0T']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : AMD® Athlon MV40 de 1,6 Ghz ; |    => suggestions : ['']
85 Mot inconnu : Athlon =>   * **Processeur** : AMD® Athlon MV40 de 1,6 Ghz ; | athlon
85 Mot inconnu : MV40 =>   * **Processeur** : AMD® Athlon MV40 de 1,6 Ghz ; | mv40
85 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Processeur** : AMD® Athlon MV40 de 1,6 Ghz ; | 1,6 ghz => suggestions : ['1,6\xa0Ghz']
85 Mot inconnu : Ghz =>   * **Processeur** : AMD® Athlon MV40 de 1,6 Ghz ; | ghz

