
102 Guillemets typographiques fermants. => REMOTE_LIRCD_CONF="lircd.conf" | " => suggestions : ['\xa0»', '”']

103 Mot inconnu : REMOTE_LIRCD_ARGS => REMOTE_LIRCD_ARGS="" | remote_lircd_args

105 Mot inconnu : IR => #Chosen IR Transmitter | ir
105 Mot inconnu : Transmitter => #Chosen IR Transmitter | transmitter

106 Mot inconnu : TRANSMITTER => TRANSMITTER="None" | transmitter
106 Guillemets typographiques ouvrants. => TRANSMITTER="None" | " => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. => TRANSMITTER="None" | " => suggestions : ['\xa0»', '”']

107 Mot inconnu : TRANSMITTER_MODULES => TRANSMITTER_MODULES="" | transmitter_modules

108 Mot inconnu : TRANSMITTER_DRIVER => TRANSMITTER_DRIVER="" | transmitter_driver

109 Mot inconnu : TRANSMITTER_DEVICE => TRANSMITTER_DEVICE="" | transmitter_device

110 Mot inconnu : TRANSMITTER_SOCKET => TRANSMITTER_SOCKET="" | transmitter_socket

111 Mot inconnu : TRANSMITTER_LIRCD_CONF => TRANSMITTER_LIRCD_CONF="" | transmitter_lircd_conf

112 Mot inconnu : TRANSMITTER_LIRCD_ARGS => TRANSMITTER_LIRCD_ARGS="" | transmitter_lircd_args

114 Mot inconnu : lircd => #Enable lircd | lircd

115 Mot inconnu : START_LIRCD => START_LIRCD="true" | start_lircd
115 Guillemets typographiques ouvrants. => START_LIRCD="true" | " => suggestions : ['«\xa0', '“']
115 Mot inconnu : true => START_LIRCD="true" | true
115 Guillemets typographiques fermants. => START_LIRCD="true" | " => suggestions : ['\xa0»', '”']

117 Mot inconnu : start => #Don't start lircmd even if there seems to be a good config file | start
117 Mot inconnu : lircmd => #Don't start lircmd even if there seems to be a good config file | lircmd
117 Mot inconnu : even => #Don't start lircmd even if there seems to be a good config file | even
117 Mot inconnu : there => #Don't start lircmd even if there seems to be a good config file | there
117 Mot inconnu : seems => #Don't start lircmd even if there seems to be a good config file | seems
117 Mot inconnu : to => #Don't start lircmd even if there seems to be a good config file | to

118 Guillemets typographiques ouvrants. => #START_LIRCMD="false" | " => suggestions : ['«\xa0', '“']
118 Mot inconnu : false => #START_LIRCMD="false" | false
118 Guillemets typographiques fermants. => #START_LIRCMD="false" | " => suggestions : ['\xa0»', '”']

120 Mot inconnu : to => #Try to load appropriate kernel modules | to
120 Mot inconnu : load => #Try to load appropriate kernel modules | load
120 Mot inconnu : appropriate => #Try to load appropriate kernel modules | appropriate
120 Mot inconnu : kernel => #Try to load appropriate kernel modules | kernel

121 Mot inconnu : LOAD_MODULES => LOAD_MODULES="true" | load_modules
121 Guillemets typographiques ouvrants. => LOAD_MODULES="true" | " => suggestions : ['«\xa0', '“']
121 Mot inconnu : true => LOAD_MODULES="true" | true
121 Guillemets typographiques fermants. => LOAD_MODULES="true" | " => suggestions : ['\xa0»', '”']

123 Mot inconnu : Default => # Default configuration files for your hardware if any | default
123 Mot inconnu : your => # Default configuration files for your hardware if any | your
123 Mot inconnu : any => # Default configuration files for your hardware if any | any

124 Mot inconnu : LIRCMD_CONF => LIRCMD_CONF="" | lircmd_conf

126 Mot inconnu : noninteractive => #Forcing noninteractive reconfiguration | noninteractive

127 Mot inconnu : lirc => #If lirc is to be reconfigured by an external application | lirc
127 Mot inconnu : is => #If lirc is to be reconfigured by an external application | is
127 Mot inconnu : to => #If lirc is to be reconfigured by an external application | to
127 Mot inconnu : reconfigured => #If lirc is to be reconfigured by an external application | reconfigured
127 Mot inconnu : by => #If lirc is to be reconfigured by an external application | by
127 Mot inconnu : external => #If lirc is to be reconfigured by an external application | external

128 Mot inconnu : doesn't => #that doesn't have a debconf frontend available, the noninteractive | doesn't
128 Confusion probable : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => #that doesn't have a debconf frontend available, the noninteractive | a => suggestions : ['à']
128 Mot inconnu : debconf => #that doesn't have a debconf frontend available, the noninteractive | debconf
128 Mot inconnu : frontend => #that doesn't have a debconf frontend available, the noninteractive | frontend
128 Mot inconnu : available => #that doesn't have a debconf frontend available, the noninteractive | available
128 Mot inconnu : the => #that doesn't have a debconf frontend available, the noninteractive | the
128 Mot inconnu : noninteractive => #that doesn't have a debconf frontend available, the noninteractive | noninteractive

129 Mot inconnu : can => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | can
129 Mot inconnu : invoked => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | invoked
129 Mot inconnu : and => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | and
129 Mot inconnu : to => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | to
129 Mot inconnu : REMOTE => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | remote
129 Mot inconnu : and => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | and
129 Mot inconnu : TRANSMITTER => #frontend can be invoked and set to parse REMOTE and TRANSMITTER | transmitter

130 Mot inconnu : will => #It will then populate all other variables without any user input | will
130 Mot inconnu : then => #It will then populate all other variables without any user input | then
130 Mot inconnu : populate => #It will then populate all other variables without any user input | populate
130 Mot inconnu : all => #It will then populate all other variables without any user input | all
130 Mot inconnu : other => #It will then populate all other variables without any user input | other
130 Mot inconnu : without => #It will then populate all other variables without any user input | without
130 Mot inconnu : any => #It will then populate all other variables without any user input | any

131 Mot inconnu : you => #If you would like to configure lirc via standard methods, be sure | you
131 Mot inconnu : would => #If you would like to configure lirc via standard methods, be sure | would
131 Mot inconnu : to => #If you would like to configure lirc via standard methods, be sure | to
131 Mot inconnu : lirc => #If you would like to configure lirc via standard methods, be sure | lirc
131 Mot inconnu : methods => #If you would like to configure lirc via standard methods, be sure | methods

132 Mot inconnu : leave => #to leave this set to "false" | leave
132 Mot inconnu : this => #to leave this set to "false" | this
132 Mot inconnu : to => #to leave this set to "false" | to
132 Guillemets typographiques ouvrants. => #to leave this set to "false" | " => suggestions : ['«\xa0', '“']
132 Mot inconnu : false => #to leave this set to "false" | false
132 Guillemets typographiques fermants. => #to leave this set to "false" | " => suggestions : ['\xa0»', '”']

133 Mot inconnu : FORCE_NONINTERACTIVE_RECONFIGURATION => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | force_noninteractive_reconfiguration
133 Guillemets typographiques ouvrants. => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | " => suggestions : ['«\xa0', '“']
133 Mot inconnu : false => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | false
133 Guillemets typographiques fermants. => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | " => suggestions : ['\xa0»', '”']

134 Mot inconnu : START_LIRCMD => START_LIRCMD=""</file> | start_lircmd
137 Il manque un espace. => Contributeur : [[utilisateurs:Jonas]], [[Utilisateurs:Julius22]] | jonas => suggestions : [' Jonas']
137 Il manque un espace. => Contributeur : [[utilisateurs:Jonas]], [[Utilisateurs:Julius22]] | julius22 => suggestions : [' Julius22']
