91 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 47 - Agen La Garenne | LFBA |
91 Mot inconnu : LFBA => | 47 - Agen La Garenne | LFBA |

92 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 49 - Angers Beaucouzé | LFRA |
92 Mot inconnu : Beaucouzé => | 49 - Angers Beaucouzé | LFRA |
92 Mot inconnu : LFRA => | 49 - Angers Beaucouzé | LFRA |

93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 49 - Angers Chaumont-d'Anjou Marcé | LFJR |
93 Mot inconnu : Chaumont-d'Anjou => | 49 - Angers Chaumont-d'Anjou Marcé | LFJR |
93 Mot inconnu : Marcé => | 49 - Angers Chaumont-d'Anjou Marcé | LFJR |
93 Mot inconnu : LFJR => | 49 - Angers Chaumont-d'Anjou Marcé | LFJR |

94 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 50 - Cherbourg Maupertus | LFRC |
94 Mot inconnu : Maupertus => | 50 - Cherbourg Maupertus | LFRC |
94 Mot inconnu : LFRC => | 50 - Cherbourg Maupertus | LFRC |

95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 51 - Châlons en Champagne Vatry | LFOK |
95 Mot inconnu : Châlons => | 51 - Châlons en Champagne Vatry | LFOK |
95 Mot inconnu : Vatry => | 51 - Châlons en Champagne Vatry | LFOK |
95 Mot inconnu : LFOK => | 51 - Châlons en Champagne Vatry | LFOK |

96 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 51 - Reims / Prunay | LFQA |
96 Mot inconnu : Prunay => | 51 - Reims / Prunay | LFQA |
96 Mot inconnu : LFQA => | 51 - Reims / Prunay | LFQA |

97 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 52 - Langres | LFSU |
97 Mot inconnu : Langres => | 52 - Langres | LFSU |
97 Mot inconnu : LFSU => | 52 - Langres | LFSU |

